comparison,OR,CI_low,CI_high,p
Severe/FTD vs Preserved,2.5590614817893025,1.0543545214696344,6.211189437922154,0.03780207246963663
Combined-impaired vs Preserved,1.4113778766039466,0.7002496806562728,2.8446817836463394,0.3352624852485855
